B       S           001784 06012012
B       S           001126 06012012
FABRICE BOISSIER    006264 07012012
FABRICE BOISSIER    001629 07012012
G       T           001392 08012012
G       T           000575 09012012
FABRICE BOISSIER    003059 10012012
G       T           002044 10012012
B       S           002000 11012012
G       T           002053 14012012
G       T           001538 15012012
FABRICE BOISSIER    003260 17012012
B       S           002500 17012012
G       T           001640 19012012
G       T           004061 20012012
FABRICE BOISSIER    007914 23012012
G       T           002756 25012012
FABRICE BOISSIER    000875 29012012
B       S           008000 29012012
G       T           003965 31012012
